sheet,cell,media_name,stack_bb,hero_pos,villain_pos,spot,suggested_filename,positions_found,spot_hints,near_up,near_left,near_corner
Main,C25,image116.png,15bb,HJ,UTG,rfi,15bb_hj_vs_utg_Main_C25.png,HJ;UTG,,,,
Main,B26,image117.png,15bb,BB,UTG,rfi,15bb_bb_vs_utg_Main_B26.png,BB;HJ;UTG,,,,
Main,C26,image117.png,15bb,CO,UTG,rfi,15bb_co_vs_utg_Main_C26.png,CO;UTG;HJ,,,,
Main,B27,image118.png,15bb,HJ,UTG,rfi,15bb_hj_vs_utg_Main_B27.png,HJ;CO;UTG,,,,
Main,C27,image118.png,15bb,BTN,UTG,rfi,15bb_btn_vs_utg_Main_C27.png,BTN;UTG;HJ;CO,,,,
Main,B28,image119.png,15bb,HJ,UTG,rfi,15bb_hj_vs_utg_Main_B28.png,HJ;CO;BTN;UTG,,,,
Main,C28,image119.png,15bb,SB,UTG,rfi,15bb_sb_vs_utg_Main_C28.png,SB;UTG;HJ;CO;BTN,,,,
Main,B29,image120.png,15bb,HJ,UTG,rfi,15bb_hj_vs_utg_Main_B29.png,HJ;CO;BTN;SB;UTG,,,,
Main,C29,image120.png,15bb,BB,UTG,rfi,15bb_bb_vs_utg_Main_C29.png,BB;UTG;HJ;CO;BTN;SB,,,,
Main,B22,image121.png,15bb,UTG,UTG,jam,15bb_utg_vs_utg_Main_B22.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,B23,image122.png,15bb,UTG,UTG,jam,15bb_utg_vs_utg_Main_B23.png,UTG;CO;BTN;SB;BB,,,,
Main,C22,image123.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_C22.png,UTG;BTN;SB;BB,,,,
Main,C23,image123.png,15bb,UTG,UTG,jam,15bb_utg_vs_utg_Main_C23.png,UTG;SB;BB,,,,
Main,B32,image124.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_B32.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,C32,image123.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_C32.png,UTG;CO;BTN;SB;BB;HJ,,,,
Main,B33,image125.png,15bb,UTG,UTG,jam,15bb_utg_vs_utg_Main_B33.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,C33,image126.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_C33.png,UTG;BTN;SB;BB;HJ,,,,
Main,B34,image127.png,15bb,CO,UTG,jam,15bb_co_vs_utg_Main_B34.png,CO;BTN;SB;BB;HJ;UTG,,,,
Main,C34,image128.png,15bb,SB,UTG,rfi,15bb_sb_vs_utg_Main_C34.png,SB;BB;HJ;UTG,,,,
Main,B35,image129.png,15bb,BTN,UTG,jam,15bb_btn_vs_utg_Main_B35.png,BTN;SB;BB;HJ;UTG,,,,
Main,C35,image129.png,15bb,HJ,UTG,rfi,15bb_hj_vs_utg_Main_C35.png,HJ;BB;UTG,,,,
Main,B24,image130.png,15bb,BTN,UTG,jam,15bb_btn_vs_utg_Main_B24.png,BTN;SB;BB;UTG,,,,
Main,C24,image130.png,15bb,BB,UTG,rfi,15bb_bb_vs_utg_Main_C24.png,BB;UTG,,,,
Main,B36,image131.png,15bb,SB,UTG,rfi,15bb_sb_vs_utg_Main_B36.png,SB;BB;HJ;UTG,,,,
Main,C36,image131.png,15bb,CO,UTG,rfi,15bb_co_vs_utg_Main_C36.png,CO;HJ;UTG,,,,
Main,B38,image132.png,15bb,HJ,UTG,rfi,15bb_hj_vs_utg_Main_B38.png,HJ;CO;BTN;UTG,,,,
Main,C38,image132.png,15bb,SB,UTG,rfi,15bb_sb_vs_utg_Main_C38.png,SB;UTG;HJ;CO;BTN,,,,
Main,B39,image133.png,15bb,HJ,UTG,rfi,15bb_hj_vs_utg_Main_B39.png,HJ;CO;BTN;SB;UTG,,,,
Main,C39,image133.png,15bb,BB,UTG,rfi,15bb_bb_vs_utg_Main_C39.png,BB;UTG;HJ;CO;BTN;SB,,,,
Main,B41,image134.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_B41.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,B42,image135.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_B42.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,B43,image136.png,15bb,HJ,UTG,rfi,15bb_hj_vs_utg_Main_B43.png,HJ;CO;BTN;SB;BB;UTG,,,,
Main,B44,image137.png,15bb,HJ,UTG,jam,15bb_hj_vs_utg_Main_B44.png,HJ;CO;BTN;SB;BB;UTG,,,,
Main,C41,image138.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_C41.png,UTG;HJ;CO;BTN;SB;BB,,,,
Main,C42,image139.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_C42.png,UTG;CO;BTN;SB;BB,,,,
Main,C43,image140.png,15bb,BTN,UTG,rfi,15bb_btn_vs_utg_Main_C43.png,BTN;SB;BB;CO;UTG,,,,
Main,C44,image141.png,15bb,HJ,UTG,rfi,15bb_hj_vs_utg_Main_C44.png,HJ;SB;BB;CO;UTG,,,,
Main,B50,image142.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_B50.png,UTG;CO;BTN;SB;BB;HJ,,,,
Main,B51,image143.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_B51.png,UTG;CO;BTN;SB;BB,,,,
Main,B52,image144.png,15bb,CO,UTG,rfi,15bb_co_vs_utg_Main_B52.png,CO;BTN;SB;BB;UTG,,,,
Main,B53,image145.png,15bb,HJ,UTG,rfi,15bb_hj_vs_utg_Main_B53.png,HJ;CO;BTN;SB;BB;UTG,,,,
Main,B54,image146.png,15bb,CO,UTG,jam,15bb_co_vs_utg_Main_B54.png,CO;BTN;SB;BB;UTG;HJ,,,,
Main,C50,image147.png,15bb,UTG,UTG,rfi,15bb_utg_vs_utg_Main_C50.png,UTG;HJ;CO;BTN;SB;BB,,,,
